GUID,ItemName,ElementName,ElementType,ElementCategory,ElementFamily Name,ElementSystem Classification,CADmep+Service,CADmep+Service Type,ElementFabrication Service Name,ElementSize,ElementNominal Diameter,ElementArea,CADmep+Area,ElementLength,CADmep+Length/Angle,AttributesLength,AutoCadLength,ElementWeight,Tekla QuantityWeight,CADmep+Weight,SDS2_GeneralMember_Net_Weight,Code,Description
7d653312-92ae-4bb4-8f02-c23c184540cd,W14x2,2017C1,"DirectShapeType ""W14x2"", #285540",Columns,,,,,,,,,,,,,,,,,1546 kg,05 21 23,Steel Joist Girder Framing
7d653312-92ae-4bb4-8f02-c23c184540e7,W14x90,2023C1,"DirectShapeType ""W14x90"", #285518",Columns,,,,,,,,,,,,,,,,,2266 kg,05 21 23,Steel Joist Girder Framing
7d653312-92ae-4bb4-8f02-c23c184540f3,PL3/4x23 3/4x2-5,pl61_2,"DirectShapeType ""PL3/4x23 3/4x2-5"", #285530",Structural Framing,,,,,,,,,,,,,,,,,2266 kg,05 21 23,Steel Joist Girder Framing
7d653312-92ae-4bb4-8f02-c23c184540fd,PL1x15x2-5 7/8,pl63_2,"DirectShapeType ""PL1x15x2-5 7/8"", #285524",Structural Framing,,,,,,,,,,,,,,,,,2266 kg,05 21 23,Steel Joist Girder Framing
7d653312-92ae-4bb4-8f02-c23c18454101,W14x2,2020C1,"DirectShapeType ""W14x2"", #285352",Columns,,,,,,,,,,,,,,,,,2505 kg,05 21 23,Steel Joist Girder Framing
7d653312-92ae-4bb4-8f02-c23c18454108,W14x145,2009C2,"DirectShapeType ""W14x145"", #285343",Columns,,,,,,,,,,,,,,,,,2605 kg,05 21 23,Steel Joist Girder Framing
7d653312-92ae-4bb4-8f02-c23c1845410d,W14x2,2089C1,"DirectShapeType ""W14x2"", #285348",Columns,,,,,,,,,,,,,,,,,2489 kg,05 21 23,Steel Joist Girder Framing
7d653312-92ae-4bb4-8f02-c23c18454115,W14x2,2015C2,"DirectShapeType ""W14x2"", #285372",Columns,,,,,,,,,,,,,,,,,2521 kg,05 21 23,Steel Joist Girder Framing
7d653312-92ae-4bb4-8f02-c23c1845411d,W14x2,2019C1,"DirectShapeType ""W14x2"", #285364",Columns,,,,,,,,,,,,,,,,,2533 kg,05 21 23,Steel Joist Girder Framing
7d653312-92ae-4bb4-8f02-c23c18454123,W14x159,2089C2,"DirectShapeType ""W14x159"", #285322",Columns,,,,,,,,,,,,,,,,,2714 kg,05 21 23,Steel Joist Girder Framing
